,Date,region,load MW,Lubbock_Preston_Smith_International_Airport_Station_avg_dew_point,Lubbock_Preston_Smith_International_Airport_Station_avg_temperature_f,Lubbock_Preston_Smith_International_Airport_Station_avg_humidity_percent,Lubbock_Preston_Smith_International_Airport_Station_avg_wind_speed_mph,Lubbock_Preston_Smith_International_Airport_Station_avg_wind_gust_mph,Lubbock_Preston_Smith_International_Airport_Station_avg_pressure,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_dew_point,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_temperature_f,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_humidity_percent,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_wind_speed_mph,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_wind_gust_mph,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_pressure
38,2021-12-28 14:00:00,NORTH,914.69634,21.0,63.0,20.0,15.0,24.0,26.3,22.0,73.0,15.0,15.0,25.0,28.56
39,2021-12-28 15:00:00,NORTH,914.926661,17.0,63.0,17.0,15.0,26.0,26.3,21.0,72.0,15.0,12.0,25.0,28.56
40,2021-12-28 16:00:00,NORTH,914.974413,16.0,62.0,17.0,10.0,0.0,26.3,23.0,70.0,17.0,12.0,0.0,28.57
41,2021-12-28 17:00:00,NORTH,908.401218,16.0,59.0,19.0,10.0,0.0,26.31,24.0,64.0,22.0,6.0,0.0,28.59
42,2021-12-28 18:00:00,NORTH,916.781087,17.0,57.0,21.0,7.0,0.0,26.32,24.0,62.0,23.0,3.0,0.0,28.59
43,2021-12-28 19:00:00,NORTH,950.434956,16.0,58.0,19.0,10.0,0.0,26.33,26.0,53.0,35.0,5.0,0.0,28.61
44,2021-12-28 20:00:00,NORTH,935.15972,14.0,58.0,18.0,18.0,30.0,26.32,25.0,54.0,33.0,0.0,0.0,28.62
45,2021-12-28 21:00:00,NORTH,913.195193,14.0,53.0,21.0,6.0,0.0,26.32,27.0,51.0,39.0,6.0,0.0,28.62
46,2021-12-28 22:00:00,NORTH,878.930978,14.0,54.0,21.0,14.0,0.0,26.33,27.0,51.0,39.0,7.0,0.0,28.61
47,2021-12-28 23:00:00,NORTH,835.612965,17.0,52.0,25.0,8.0,0.0,26.34,29.0,51.0,43.0,7.0,0.0,28.61
48,2021-12-29 00:00:00,NORTH,795.498005,19.0,56.0,24.0,13.0,0.0,26.35,32.0,50.0,50.0,6.0,0.0,28.6
49,2021-12-29 01:00:00,NORTH,761.73602,20.0,56.0,25.0,13.0,0.0,26.34,32.0,48.0,54.0,5.0,0.0,28.6
50,2021-12-29 02:00:00,NORTH,744.806402,20.0,54.0,26.0,14.0,0.0,26.34,31.0,49.0,50.0,6.0,0.0,28.6
51,2021-12-29 03:00:00,NORTH,735.581967,18.0,54.0,24.0,16.0,0.0,26.33,34.0,48.0,58.0,8.0,0.0,28.63
52,2021-12-29 04:00:00,NORTH,734.698224,17.0,57.0,21.0,24.0,33.0,26.34,34.0,48.0,58.0,10.0,0.0,28.64
53,2021-12-29 05:00:00,NORTH,747.761411,17.0,49.0,28.0,8.0,0.0,26.35,33.0,48.0,56.0,9.0,0.0,28.64
54,2021-12-29 06:00:00,NORTH,779.216176,18.0,48.0,30.0,12.0,0.0,26.37,33.0,48.0,56.0,0.0,0.0,28.67
55,2021-12-29 07:00:00,NORTH,826.725385,18.0,44.0,35.0,9.0,0.0,26.39,39.0,46.0,76.0,5.0,0.0,28.66
56,2021-12-29 08:00:00,NORTH,874.943643,19.0,47.0,33.0,9.0,0.0,26.41,43.0,51.0,74.0,5.0,0.0,28.67
57,2021-12-29 09:00:00,NORTH,907.69025,18.0,51.0,27.0,15.0,0.0,26.44,43.0,57.0,59.0,6.0,0.0,28.67
58,2021-12-29 10:00:00,NORTH,916.907957,17.0,57.0,21.0,24.0,37.0,26.45,46.0,63.0,54.0,7.0,0.0,28.69
59,2021-12-29 11:00:00,NORTH,918.94414,17.0,60.0,19.0,25.0,35.0,26.45,46.0,68.0,45.0,12.0,0.0,28.68
60,2021-12-29 12:00:00,NORTH,917.581494,18.0,61.0,19.0,22.0,35.0,26.43,42.0,71.0,35.0,9.0,0.0,28.66
61,2021-12-29 13:00:00,NORTH,909.793514,17.0,62.0,18.0,23.0,30.0,26.42,35.0,72.0,26.0,8.0,0.0,28.64
62,2021-12-29 14:00:00,NORTH,905.653164,17.0,63.0,17.0,23.0,30.0,26.41,32.0,73.0,22.0,13.0,0.0,28.65
63,2021-12-29 15:00:00,NORTH,903.379095,17.0,63.0,17.0,17.0,32.0,26.43,28.0,73.0,19.0,13.0,0.0,28.67
64,2021-12-29 16:00:00,NORTH,906.327701,17.0,61.0,18.0,17.0,26.0,26.44,21.0,71.0,15.0,10.0,0.0,28.68
65,2021-12-29 17:00:00,NORTH,903.118231,17.0,55.0,23.0,8.0,0.0,26.45,20.0,63.0,19.0,9.0,0.0,28.69
66,2021-12-29 18:00:00,NORTH,912.68711,18.0,51.0,27.0,12.0,0.0,26.45,23.0,60.0,24.0,7.0,0.0,28.72
67,2021-12-29 19:00:00,NORTH,945.826823,17.0,50.0,27.0,7.0,0.0,26.48,23.0,54.0,30.0,8.0,0.0,28.74
68,2021-12-29 20:00:00,NORTH,933.316837,17.0,52.0,25.0,15.0,0.0,26.49,23.0,56.0,28.0,8.0,0.0,28.75
69,2021-12-29 21:00:00,NORTH,916.853865,17.0,49.0,28.0,12.0,0.0,26.5,24.0,49.0,38.0,3.0,0.0,28.76
70,2021-12-29 22:00:00,NORTH,891.849053,17.0,45.0,33.0,10.0,0.0,26.5,26.0,48.0,42.0,9.0,0.0,28.76
71,2021-12-29 23:00:00,NORTH,856.905781,17.0,39.0,41.0,8.0,0.0,26.49,26.0,48.0,42.0,0.0,0.0,28.76
72,2021-12-30 00:00:00,NORTH,822.723494,17.0,37.0,44.0,16.0,0.0,26.5,25.0,44.0,47.0,6.0,0.0,28.75
73,2021-12-30 01:00:00,NORTH,799.189262,18.0,39.0,43.0,10.0,0.0,26.49,24.0,48.0,39.0,6.0,0.0,28.74
74,2021-12-30 02:00:00,NORTH,786.831774,18.0,38.0,44.0,12.0,0.0,26.5,26.0,40.0,58.0,12.0,0.0,28.75
75,2021-12-30 03:00:00,NORTH,782.703787,18.0,36.0,48.0,8.0,0.0,26.52,24.0,41.0,51.0,3.0,0.0,28.76
76,2021-12-30 04:00:00,NORTH,788.107024,19.0,37.0,48.0,8.0,0.0,26.52,24.0,42.0,49.0,7.0,0.0,28.78
77,2021-12-30 05:00:00,NORTH,808.772299,18.0,35.0,50.0,6.0,0.0,26.53,29.0,39.0,67.0,6.0,0.0,28.78
78,2021-12-30 06:00:00,NORTH,842.949037,19.0,34.0,54.0,6.0,0.0,26.54,29.0,40.0,65.0,3.0,0.0,28.81
79,2021-12-30 07:00:00,NORTH,900.37261,19.0,34.0,54.0,7.0,0.0,26.56,28.0,38.0,68.0,3.0,0.0,28.82
80,2021-12-30 08:00:00,NORTH,949.539214,20.0,39.0,46.0,6.0,0.0,26.57,27.0,45.0,49.0,6.0,0.0,28.85
81,2021-12-30 09:00:00,NORTH,965.757336,22.0,50.0,33.0,12.0,0.0,26.59,28.0,51.0,41.0,7.0,0.0,28.87
82,2021-12-30 10:00:00,NORTH,959.237696,23.0,51.0,33.0,13.0,0.0,26.58,27.0,59.0,29.0,6.0,0.0,28.86
83,2021-12-30 11:00:00,NORTH,950.132074,24.0,54.0,31.0,15.0,0.0,26.56,28.0,67.0,23.0,9.0,0.0,28.83
84,2021-12-30 12:00:00,NORTH,934.948089,24.0,55.0,30.0,13.0,0.0,26.52,28.0,69.0,22.0,12.0,0.0,28.78
85,2021-12-30 13:00:00,NORTH,925.201347,23.0,58.0,26.0,13.0,0.0,26.49,25.0,70.0,18.0,14.0,0.0,28.75
86,2021-12-30 14:00:00,NORTH,921.627879,26.0,61.0,26.0,21.0,30.0,26.47,25.0,70.0,18.0,9.0,0.0,28.73
87,2021-12-30 15:00:00,NORTH,910.230366,27.0,60.0,28.0,20.0,0.0,26.46,26.0,71.0,19.0,15.0,0.0,28.72
88,2021-12-30 16:00:00,NORTH,899.700058,27.0,60.0,28.0,14.0,0.0,26.45,26.0,68.0,21.0,8.0,0.0,28.71
89,2021-12-30 17:00:00,NORTH,903.646889,29.0,60.0,31.0,13.0,23.0,26.45,26.0,57.0,30.0,8.0,0.0,28.72
90,2021-12-30 18:00:00,NORTH,926.153974,27.0,60.0,28.0,18.0,29.0,26.45,28.0,56.0,34.0,8.0,0.0,28.72
91,2021-12-30 19:00:00,NORTH,958.461652,27.0,57.0,32.0,13.0,0.0,26.45,28.0,53.0,38.0,9.0,0.0,28.73
92,2021-12-30 20:00:00,NORTH,945.944963,26.0,53.0,35.0,10.0,0.0,26.45,29.0,50.0,44.0,9.0,0.0,28.71
93,2021-12-30 21:00:00,NORTH,929.571655,25.0,49.0,39.0,8.0,0.0,26.45,29.0,51.0,43.0,9.0,0.0,28.71
94,2021-12-30 22:00:00,NORTH,906.704144,27.0,52.0,38.0,15.0,0.0,26.46,30.0,51.0,44.0,8.0,0.0,28.7
95,2021-12-30 23:00:00,NORTH,878.739051,29.0,52.0,41.0,8.0,0.0,26.45,31.0,47.0,54.0,8.0,0.0,28.7
96,2021-12-31 00:00:00,NORTH,843.689369,33.0,55.0,43.0,13.0,0.0,26.44,33.0,49.0,54.0,9.0,0.0,28.69
97,2021-12-31 01:00:00,NORTH,808.222469,37.0,58.0,46.0,22.0,31.0,26.42,33.0,55.0,43.0,13.0,0.0,28.68
98,2021-12-31 02:00:00,NORTH,789.975591,38.0,57.0,49.0,15.0,26.0,26.42,33.0,52.0,49.0,12.0,0.0,28.68
99,2021-12-31 03:00:00,NORTH,775.38483,38.0,56.0,51.0,16.0,0.0,26.41,34.0,53.0,48.0,10.0,0.0,28.67
100,2021-12-31 04:00:00,NORTH,766.163667,38.0,57.0,49.0,18.0,26.0,26.39,34.0,55.0,45.0,9.0,0.0,28.66
101,2021-12-31 05:00:00,NORTH,776.832289,39.0,57.0,51.0,21.0,30.0,26.39,35.0,54.0,49.0,12.0,0.0,28.65
102,2021-12-31 06:00:00,NORTH,788.983109,39.0,56.0,53.0,17.0,0.0,26.4,36.0,56.0,47.0,13.0,0.0,28.66
